window_index,split,n_samples,score_-1,score_0,score_1
0,val,96,0.06337887793779373,0.8097019791603088,0.12691913545131683
1,val,60,0.05911976844072342,0.7652924656867981,0.1755877435207367
2,val,64,0.041439373046159744,0.8313238620758057,0.12723670899868011
3,val,84,0.05586692690849304,0.7725668549537659,0.1715662032365799
4,val,82,0.039718303829431534,0.8113673329353333,0.14891433715820312
5,val,132,0.04939272254705429,0.7949079871177673,0.15569926798343658
6,val,170,0.059066981077194214,0.7916460633277893,0.14928703010082245
7,val,112,0.05124419555068016,0.7971479296684265,0.15160785615444183
8,val,74,0.04990248382091522,0.8075338006019592,0.14256371557712555
9,val,137,0.05490783229470253,0.7985799312591553,0.1465122401714325
10,val,83,0.049380283802747726,0.8278819918632507,0.12273765355348587
11,val,81,0.0570487342774868,0.7676065564155579,0.17534473538398743
12,val,85,0.06607330590486526,0.7785899639129639,0.1553366482257843
13,val,81,0.06331512331962585,0.7971823215484619,0.13950246572494507
14,val,100,0.07697389274835587,0.7464521527290344,0.1765739619731903
15,test,97,0.04643847420811653,0.794256865978241,0.1593046933412552
16,test,81,0.07856924086809158,0.7233639359474182,0.198066845536232
17,test,75,0.08714529126882553,0.7651150226593018,0.14773967862129211
18,test,119,0.056231215596199036,0.7640018463134766,0.1797669380903244
19,test,101,0.049693409353494644,0.7797450423240662,0.17056146264076233
20,test,122,0.07337383925914764,0.7783966660499573,0.1482294797897339
21,test,95,0.05255312845110893,0.7913897633552551,0.15605702996253967
22,test,98,0.05791918560862541,0.7863714098930359,0.1557094156742096
23,test,146,0.05867872014641762,0.8136659264564514,0.12765537202358246
24,test,109,0.04916330799460411,0.8026874661445618,0.1481492668390274
25,test,137,0.053023628890514374,0.7691905498504639,0.17778578400611877
26,test,189,0.04817543178796768,0.8199722766876221,0.13185226917266846
