window_index,split,n_samples,score_-1,score_1
0,val,65,0.35713374614715576,0.6428661942481995
1,val,43,0.3215429186820984,0.6784570217132568
2,val,29,0.32401782274246216,0.6759821176528931
3,val,31,0.3283955752849579,0.671604335308075
4,val,50,0.31155985593795776,0.6884400844573975
5,val,33,0.3506670296192169,0.6493330001831055
6,val,77,0.3325843811035156,0.6674156785011292
7,val,42,0.320124089717865,0.679875910282135
8,val,39,0.34544217586517334,0.6545578241348267
9,val,39,0.32558032870292664,0.6744195818901062
10,val,43,0.3298695683479309,0.6701304912567139
11,val,44,0.32874420285224915,0.6712557673454285
12,val,69,0.3208684027194977,0.6791316270828247
13,val,51,0.30173370242118835,0.6982662677764893
14,val,45,0.31125956773757935,0.6887404918670654
15,test,20,0.25845232605934143,0.741547703742981
16,test,38,0.3036072254180908,0.696392834186554
17,test,40,0.26735883951187134,0.7326411604881287
18,test,47,0.3044438064098358,0.6955562233924866
19,test,41,0.3188343942165375,0.6811655759811401
20,test,52,0.3463440537452698,0.653656005859375
21,test,43,0.34069758653640747,0.6593023538589478
22,test,34,0.29121705889701843,0.7087829113006592
23,test,42,0.3997748792171478,0.6002250909805298
24,test,66,0.3294690251350403,0.6705310344696045
25,test,45,0.3679758310317993,0.6320241093635559
26,test,28,0.3359265625476837,0.6640734672546387
