window_index,split,n_samples,score_-1,score_0,score_1
0,val,120,0.04728367552161217,0.8020076751708984,0.15070867538452148
1,val,102,0.05817476287484169,0.704168438911438,0.23765680193901062
2,val,95,0.05743490159511566,0.7437337636947632,0.1988312304019928
3,val,80,0.059182871133089066,0.7727069854736328,0.16811016201972961
4,val,93,0.06458994001150131,0.7956701517105103,0.13973987102508545
5,val,83,0.04234817624092102,0.8192614912986755,0.13839037716388702
6,val,128,0.05330292135477066,0.8098488450050354,0.13684822618961334
7,val,109,0.052767470479011536,0.7999118566513062,0.1473206728696823
8,val,70,0.07091013342142105,0.7753242254257202,0.15376560389995575
9,val,92,0.0724940225481987,0.7655092477798462,0.16199667751789093
10,val,84,0.047064051032066345,0.8192451000213623,0.13369086384773254
11,val,84,0.05729275569319725,0.7856850624084473,0.157022163271904
12,val,127,0.043219197541475296,0.8108918070793152,0.14588890969753265
13,val,72,0.04662278667092323,0.759748637676239,0.19362862408161163
14,val,75,0.05594477429986,0.7496643662452698,0.19439080357551575
15,test,79,0.06277544051408768,0.7490739226341248,0.18815062940120697
16,test,76,0.07080882787704468,0.8331421613693237,0.09604901075363159
17,test,126,0.04126914218068123,0.818426787853241,0.14030411839485168
18,test,109,0.04279414564371109,0.7861732244491577,0.17103269696235657
19,test,250,0.04454053193330765,0.8492615818977356,0.10619786381721497
20,test,78,0.04383385553956032,0.8221440315246582,0.1340220719575882
21,test,66,0.05175941064953804,0.8062528371810913,0.14198769629001617
22,test,74,0.06171361356973648,0.8143370747566223,0.12394926697015762
23,test,62,0.049774494022130966,0.7307501435279846,0.21947531402111053
24,test,91,0.04231853410601616,0.8095558881759644,0.14812561869621277
25,test,57,0.06963322311639786,0.7981155514717102,0.13225117325782776
26,test,47,0.06862729787826538,0.7448586821556091,0.1865139603614807
