window_index,t_window,split,quant_prev_-1,quant_prev_0,quant_prev_1
15,1455062400.0,test,0.0351633546648703,0.6736274840013472,0.2912091613337824
16,1455148800.0,test,0.0135525724195516,0.6423020104052926,0.3441454171751558
17,1455235200.0,test,0.1739543081824961,0.6779201410073894,0.1481255508101145
18,1455321600.0,test,0.0885134001007105,0.5595031611928608,0.3519834387064287
19,1455408000.0,test,0.0,0.5111368435392685,0.4888631564607316
20,1455494400.0,test,0.008699387820857,0.5261518633873913,0.4651487487917516
21,1455580800.0,test,0.1694070752366716,0.6052150805514035,0.2253778442119249
22,1455667200.0,test,0.4128068091844813,0.5871931908155186,0.0
23,1455753600.0,test,0.0341858037578288,0.6524008350730689,0.3134133611691023
24,1455840000.0,test,0.1220072315059122,0.4886152643408579,0.3893775041532297
25,1455926400.0,test,0.0,0.5,0.5
26,1456012800.0,test,0.0,0.5,0.5
27,1456099200.0,test,0.0,0.5253756435851634,0.4746243564148366
28,1456185600.0,test,0.145048261271982,0.5639957688747851,0.2909559698532328
29,1456272000.0,test,0.5546156675248253,0.3544195169792816,0.0909648154958931
30,1456358400.0,test,0.0,0.5624929688378895,0.4375070311621105
31,1456444800.0,test,0.0210863861626664,0.9717228646390048,0.0071907491983286
32,1456531200.0,test,0.274310595065312,0.7256894049346879,0.0
33,1456617600.0,test,0.3698802772526779,0.630119722747322,0.0
34,1456704000.0,test,0.0124141822627668,0.9404683532399134,0.0471174644973196
35,1456790400.0,test,0.0,0.5509338328466751,0.4490661671533248
36,1456876800.0,test,0.0,0.543596434007393,0.4564035659926071
37,1456963200.0,test,0.0,0.5007511266900351,0.499248873309965
38,1457049600.0,test,0.0,0.5013285205795358,0.4986714794204642
39,1457136000.0,test,0.057429954525451,0.7334604664808567,0.2091095789936922
40,1457222400.0,test,0.0403991939353229,0.4798004030323385,0.4798004030323385
41,1457308800.0,test,0.0295477778318648,0.4867838193058462,0.4836684028622888
42,1457395200.0,test,0.109689213893967,0.5392443631931749,0.351066422912858
43,1457481600.0,test,0.1464092664092664,0.7722007722007722,0.0813899613899614
44,1457568000.0,test,0.0655078964582749,0.9344921035417252,0.0
45,1457654400.0,test,0.765209553853087,0.234790446146913,0.0
46,1457740800.0,test,0.7904509283819628,0.2095490716180371,0.0
47,1457827200.0,test,0.0,1.0,0.0
48,1457913600.0,test,0.0,0.728279076542131,0.271720923457869
49,1458000000.0,test,0.0,0.8079502302658156,0.1920497697341843
50,1458086400.0,test,0.0,0.5009267144216801,0.4990732855783198
51,1458172800.0,test,0.0,0.8430992327796982,0.1569007672203018
52,1458259200.0,test,0.0,0.5000750112516877,0.4999249887483122
53,1458345600.0,test,0.0,0.8665737676363002,0.1334262323636997
54,1458432000.0,test,0.0,0.7576905591756328,0.2423094408243673
55,1458518400.0,test,0.0,0.7225433526011561,0.2774566473988439
