window_index,t_window,split,quant_prev_-1,quant_prev_0,quant_prev_1
15,1455062400.0,test,0.0,0.9033699054722376,0.0966300945277624
16,1455148800.0,test,0.4622984483281706,0.0,0.5377015516718293
17,1455235200.0,test,0.430286605748549,0.0,0.5697133942514511
18,1455321600.0,test,0.5,0.0,0.5
19,1455408000.0,test,0.4055347599077653,0.0,0.5944652400922347
20,1455494400.0,test,0.1751596664658908,0.0,0.824840333534109
21,1455580800.0,test,0.1222460587314111,0.0,0.877753941268589
22,1455667200.0,test,0.3050917616780164,0.3181238190478027,0.376784419274181
23,1455753600.0,test,0.5,0.0,0.5
24,1455840000.0,test,0.6839410032171499,0.0,0.3160589967828501
25,1455926400.0,test,0.6637867457973115,0.0,0.3362132542026886
26,1456012800.0,test,0.0112458336450542,0.9887541663549458,0.0
27,1456099200.0,test,0.0,1.0,0.0
28,1456185600.0,test,0.1079396131484554,0.0,0.8920603868515445
29,1456272000.0,test,0.436155823656443,0.0,0.5638441763435571
30,1456358400.0,test,0.129419074049564,0.0490944211056603,0.8214865048447756
31,1456444800.0,test,0.1766325787489429,0.2433902034879346,0.5799772177631224
32,1456531200.0,test,0.0,0.4469741898523044,0.5530258101476956
33,1456617600.0,test,0.0457249859369327,0.9542750140630673,0.0
34,1456704000.0,test,0.0110472616256715,0.97129535292385,0.0176573854504785
35,1456790400.0,test,0.3342579581233319,0.0,0.6657420418766681
36,1456876800.0,test,0.0,0.3824989262780665,0.6175010737219334
37,1456963200.0,test,0.0,0.6637867457973115,0.3362132542026886
38,1457049600.0,test,0.0,0.7784885948210517,0.2215114051789482
39,1457136000.0,test,0.2911460276508225,0.0,0.7088539723491775
40,1457222400.0,test,0.2329590428284143,0.0,0.7670409571715856
41,1457308800.0,test,0.1992941274236873,0.0,0.8007058725763128
42,1457395200.0,test,0.4689794373593187,0.0,0.5310205626406813
43,1457481600.0,test,0.656972823276029,0.0,0.3430271767239709
44,1457568000.0,test,0.1603738243169618,0.2713164998028455,0.5683096758801927
45,1457654400.0,test,0.0,0.5640574504180658,0.4359425495819343
46,1457740800.0,test,0.0,0.4165122796100101,0.5834877203899899
47,1457827200.0,test,0.0,1.0,0.0
48,1457913600.0,test,0.0,0.7053574532685911,0.2946425467314088
49,1458000000.0,test,0.0,0.7524828993297404,0.2475171006702594
50,1458086400.0,test,0.0,0.550278211174331,0.449721788825669
51,1458172800.0,test,0.0,1.0,0.0
52,1458259200.0,test,0.0,1.0,0.0
53,1458345600.0,test,0.0,1.0,0.0
54,1458432000.0,test,0.0,1.0,0.0
55,1458518400.0,test,0.0,0.5937953082814788,0.4062046917185212
56,1458604800.0,test,0.0,0.550278211174331,0.449721788825669
57,1458691200.0,test,0.0,0.5143765133990409,0.4856234866009591
58,1458777600.0,test,0.0,0.4165122796100101,0.5834877203899899
59,1458864000.0,test,0.0,0.5143765133990409,0.4856234866009591
60,1458950400.0,test,0.0,0.5,0.5
61,1459036800.0,test,0.0,1.0,0.0
62,1459123200.0,test,0.0,0.7784885948210517,0.2215114051789482
63,1459209600.0,test,0.0,0.0124061879668902,0.9875938120331096
64,1459296000.0,test,0.0,0.0,1.0
65,1459382400.0,test,0.0,0.9033699054722376,0.0966300945277624
66,1459468800.0,test,0.0,1.0,0.0
67,1459555200.0,test,0.0,1.0,0.0
68,1459641600.0,test,0.0,1.0,0.0
69,1459728000.0,test,0.0,1.0,0.0
70,1459814400.0,test,0.0,0.5785444913317751,0.4214555086682249
71,1459900800.0,test,0.0,0.5143765133990409,0.4856234866009591
72,1459987200.0,test,0.0,0.1676138671741507,0.8323861328258494
73,1460073600.0,test,0.0,0.5640574504180658,0.4359425495819343
74,1460160000.0,test,0.0,0.550278211174331,0.449721788825669
75,1460246400.0,test,0.0,0.3264046188388376,0.6735953811611624
76,1460332800.0,test,0.0,0.0966280740366233,0.9033719259633768
77,1460419200.0,test,0.0,0.1676138671741507,0.8323861328258494
78,1460505600.0,test,0.0,0.0,1.0
79,1460592000.0,test,0.0,0.0,1.0
80,1460678400.0,test,0.0,0.9411120466671342,0.0588879533328657
81,1460764800.0,test,0.0,0.6447862927413246,0.3552137072586753
82,1460851200.0,test,0.0,0.6098719375142282,0.3901280624857717
83,1460937600.0,test,0.0,0.8362929083416598,0.1637070916583402
84,1461024000.0,test,0.0,0.3264046188388376,0.6735953811611624
85,1461110400.0,test,0.0,0.4992582397857613,0.5007417602142387
86,1461196800.0,test,0.0,1.0,0.0
87,1461283200.0,test,0.0,1.0,0.0
88,1461369600.0,test,0.0,1.0,0.0
89,1461456000.0,test,0.0,1.0,0.0
90,1461542400.0,test,0.0,1.0,0.0
91,1461628800.0,test,0.0,1.0,0.0
92,1461715200.0,test,0.0,1.0,0.0
93,1461801600.0,test,0.0,1.0,0.0
94,1461888000.0,test,0.0,1.0,0.0
95,1461974400.0,test,0.0,0.8685382472474075,0.1314617527525924
96,1462060800.0,test,0.0,0.5,0.5
97,1462147200.0,test,0.0,0.8063561414328482,0.1936438585671518
98,1462233600.0,test,0.0,0.8063561414328482,0.1936438585671518
99,1462320000.0,test,0.0,1.0,0.0
100,1462406400.0,test,0.0,1.0,0.0
101,1462492800.0,test,0.0,0.6447862927413246,0.3552137072586753
102,1462579200.0,test,0.0,0.5263967754137057,0.4736032245862943
103,1462665600.0,test,0.0,0.7784885948210517,0.2215114051789482
