window_index,t_window,split,n_samples,true_prev_-1,true_prev_0,true_prev_1
0,1453766400.0,val,144,0.8194444444444444,0.09722222222222221,0.08333333333333333
1,1453852800.0,val,144,0.9097222222222222,0.0625,0.027777777777777776
2,1453939200.0,val,144,1.0,0.0,0.0
3,1454025600.0,val,144,0.7291666666666666,0.25694444444444453,0.013888888888888888
4,1454112000.0,val,144,0.5069444444444444,0.20833333333333337,0.2847222222222222
5,1454198400.0,val,144,0.3680555555555556,0.20833333333333326,0.4236111111111111
6,1454284800.0,val,144,0.3888888888888889,0.2152777777777778,0.3958333333333333
7,1454371200.0,val,144,0.3958333333333333,0.48611111111111116,0.11805555555555555
8,1454457600.0,val,144,0.09027777777777778,0.4930555555555556,0.4166666666666667
9,1454544000.0,val,144,0.3888888888888889,0.38888888888888884,0.2222222222222222
10,1454630400.0,val,144,0.6180555555555556,0.3194444444444444,0.0625
11,1454716800.0,val,144,0.4652777777777778,0.42361111111111116,0.1111111111111111
12,1454803200.0,val,144,0.5555555555555556,0.3125,0.13194444444444445
13,1454889600.0,val,144,0.3263888888888889,0.3402777777777778,0.3333333333333333
14,1454976000.0,val,144,0.3472222222222222,0.13888888888888895,0.5138888888888888
15,1455062400.0,test,144,0.020833333333333332,0.7152777777777778,0.2638888888888889
16,1455148800.0,test,144,0.3055555555555556,0.33333333333333326,0.3611111111111111
17,1455235200.0,test,144,0.2638888888888889,0.45138888888888884,0.2847222222222222
18,1455321600.0,test,144,0.3402777777777778,0.5069444444444444,0.1527777777777778
19,1455408000.0,test,144,0.2222222222222222,0.4444444444444444,0.3333333333333333
20,1455494400.0,test,144,0.3472222222222222,0.38888888888888884,0.2638888888888889
21,1455580800.0,test,144,0.4375,0.35416666666666663,0.20833333333333334
22,1455667200.0,test,144,0.2847222222222222,0.6944444444444444,0.020833333333333332
23,1455753600.0,test,144,0.4027777777777778,0.4722222222222222,0.125
24,1455840000.0,test,144,0.5972222222222222,0.11805555555555558,0.2847222222222222
25,1455926400.0,test,144,0.4444444444444444,0.3472222222222222,0.20833333333333334
26,1456012800.0,test,144,0.3888888888888889,0.4097222222222222,0.2013888888888889
27,1456099200.0,test,144,0.3958333333333333,0.3472222222222223,0.2569444444444444
28,1456185600.0,test,144,0.3541666666666667,0.4652777777777778,0.18055555555555555
29,1456272000.0,test,144,0.4236111111111111,0.4097222222222222,0.16666666666666666
30,1456358400.0,test,144,0.2777777777777778,0.4305555555555556,0.2916666666666667
31,1456444800.0,test,144,0.5069444444444444,0.3194444444444444,0.1736111111111111
32,1456531200.0,test,144,0.375,0.4722222222222222,0.1527777777777778
33,1456617600.0,test,144,0.6527777777777778,0.3125,0.034722222222222224
34,1456704000.0,test,144,0.3194444444444444,0.2777777777777778,0.4027777777777778
35,1456790400.0,test,144,0.5208333333333334,0.375,0.10416666666666667
36,1456876800.0,test,144,0.3611111111111111,0.38888888888888884,0.25
37,1456963200.0,test,144,0.4305555555555556,0.42361111111111105,0.14583333333333334
38,1457049600.0,test,144,0.5416666666666666,0.22916666666666674,0.22916666666666666
39,1457136000.0,test,144,0.4305555555555556,0.4375,0.13194444444444445
40,1457222400.0,test,144,0.4722222222222222,0.38888888888888884,0.1388888888888889
41,1457308800.0,test,144,0.3472222222222222,0.2847222222222222,0.3680555555555556
42,1457395200.0,test,144,0.5694444444444444,0.3055555555555556,0.125
43,1457481600.0,test,144,0.4305555555555556,0.29861111111111116,0.2708333333333333
44,1457568000.0,test,144,0.4305555555555556,0.35416666666666663,0.2152777777777778
45,1457654400.0,test,144,0.6319444444444444,0.27083333333333337,0.09722222222222222
46,1457740800.0,test,144,0.375,0.36111111111111116,0.2638888888888889
47,1457827200.0,test,144,0.3680555555555556,0.5069444444444444,0.125
48,1457913600.0,test,144,0.3194444444444444,0.25,0.4305555555555556
49,1458000000.0,test,144,0.4166666666666667,0.3402777777777778,0.24305555555555555
50,1458086400.0,test,144,0.2916666666666667,0.3055555555555556,0.4027777777777778
51,1458172800.0,test,144,0.3472222222222222,0.4652777777777778,0.1875
52,1458259200.0,test,144,0.5555555555555556,0.3472222222222222,0.09722222222222222
53,1458345600.0,test,144,0.3125,0.3819444444444444,0.3055555555555556
54,1458432000.0,test,144,0.20833333333333334,0.42361111111111105,0.3680555555555556
55,1458518400.0,test,144,0.4027777777777778,0.45138888888888884,0.14583333333333334
56,1458604800.0,test,144,0.5625,0.29166666666666663,0.14583333333333334
57,1458691200.0,test,144,0.2916666666666667,0.5069444444444444,0.2013888888888889
58,1458777600.0,test,144,0.5069444444444444,0.4027777777777778,0.09027777777777778
59,1458864000.0,test,144,0.2916666666666667,0.22916666666666663,0.4791666666666667
60,1458950400.0,test,144,0.2777777777777778,0.39583333333333326,0.3263888888888889
61,1459036800.0,test,144,0.1388888888888889,0.7777777777777778,0.08333333333333333
62,1459123200.0,test,144,0.1527777777777778,0.5277777777777778,0.3194444444444444
63,1459209600.0,test,144,0.16666666666666666,0.5625,0.2708333333333333
64,1459296000.0,test,144,0.1597222222222222,0.6805555555555556,0.1597222222222222
65,1459382400.0,test,144,0.3472222222222222,0.4930555555555556,0.1597222222222222
66,1459468800.0,test,144,0.6319444444444444,0.3194444444444444,0.04861111111111111
67,1459555200.0,test,144,0.6597222222222222,0.3402777777777778,0.0
68,1459641600.0,test,144,0.2361111111111111,0.6527777777777778,0.1111111111111111
